2018-04-25T01:04:29+02:00 myLogger El log funcionó
2018-04-25T01:04:59+02:00 Capa Datos: El log funcionó
2018-04-25T01:06:16+02:00 Capa Datos: El log funcionó
2018-04-25T01:09:52+02:00 Capa Datos: El log funcionó
2018-04-25T01:10:16+02:00 Capa Datos: El log funcionó
2018-04-25T01:11:53+02:00 Capa Datos: El log funcionó
2018-04-25T01:12:22+02:00 Capa Datos: El log funcionó
2018-04-25T01:14:14+02:00 Capa Datos: El log funcionó
2018-04-25T01:15:11+02:00 Capa Datos: El log funcionó
2018-04-25T01:15:50+02:00 Capa Datos: El log funcionó
2018-04-25T01:17:57+02:00 Capa Datos: El log funcionó
2018-04-25T01:19:28+02:00 Capa Datos: El log funcionó
2018-04-25T01:19:30+02:00 Capa Datos: El log funcionó
2018-04-25T01:19:30+02:00 Capa Datos: El log funcionó
2018-04-25T01:19:31+02:00 Capa Datos: El log funcionó
2018-04-25T01:19:31+02:00 Capa Datos: El log funcionó
2018-04-25T01:19:31+02:00 Capa Datos: El log funcionó
2018-04-25T01:19:34+02:00 Capa Datos: El log funcionó
2018-04-25T01:19:52+02:00 Capa Datos: El log funcionó
2018-04-25T01:28:31+02:00 Capa Datos: El log funcionó
2018-04-25T01:30:17+02:00 Capa Datos: El log funcionó
2018-04-25T01:30:37+02:00 Capa Datos: El log funcionó
2018-04-25T01:32:22+02:00 Capa Datos: El log funcionó
2018-04-25T01:32:39+02:00 Capa Datos: El log funcionó
2018-04-25T01:33:00+02:00 Capa Datos: El log funcionó
